City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Starkville,US,33.4504,-88.8184,78.46,94,0,0.0,clear sky
307,Nabire,ID,-3.3667,135.4833,85.06,68,92,3.38,overcast clouds
308,Nagato,JP,34.3833,131.2,85.98,68,79,19.28,broken clouds
309,Andujar,ES,38.0392,-4.0508,87.82,24,0,2.57,clear sky
310,Hofn,IS,64.2539,-15.2082,50.22,81,76,9.33,broken clouds
311,Escanaba,US,45.7453,-87.0646,62.91,64,0,4.61,clear sky
312,Lake Havasu City,US,34.4839,-114.3224,111.81,15,0,6.91,clear sky
313,Inhambane,MZ,-23.865,35.3833,62.8,73,0,6.35,clear sky
314,Airai,TL,-8.9266,125.4092,67.62,57,100,3.85,overcast clouds
315,Bilma,NE,18.6853,12.9164,87.17,17,5,12.68,clear sky
316,Prainha,BR,-1.8,-53.48,74.84,88,96,2.26,overcast clouds
317,Bonavista,CA,48.6499,-53.1147,59.56,92,88,16.4,overcast clouds
318,Paamiut,GL,61.994,-49.6678,41.74,85,100,4.47,overcast clouds
319,Kalmunai,LK,7.4167,81.8167,84.06,54,71,5.06,broken clouds
320,Ilebo,CD,-4.3167,20.5833,68.63,44,36,0.98,scattered clouds
321,Oktyabrskoye,RU,43.0645,44.7417,67.86,71,82,2.75,broken clouds
322,Santa Rosa,PH,14.3122,121.1114,90.1,72,95,1.72,overcast clouds
323,Dunedin,NZ,-45.8742,170.5036,48.79,75,100,10.0,overcast clouds
324,Sechura,PE,-5.5569,-80.8222,63.39,81,8,15.1,clear sky
325,Valparaiso,CL,-33.0393,-71.6273,55.04,84,100,11.5,light rain
326,Comodoro Rivadavia,AR,-45.8667,-67.5,30.06,86,0,4.61,clear sky
327,San Patricio,US,28.017,-97.5169,85.17,70,30,11.59,scattered clouds
328,San Pablo,PH,14.0669,121.3258,85.91,70,98,3.18,overcast clouds
329,Sabha,LY,27.0377,14.4283,73.8,45,1,16.87,clear sky
330,Galle,LK,6.0367,80.217,80.13,81,13,14.76,few clouds
331,Yatou,CN,37.15,122.3833,83.77,69,11,1.57,few clouds
332,Henties Bay,NA,-22.116,14.2845,54.84,90,0,7.87,clear sky
333,Margate,GB,51.3813,1.3862,64.31,89,98,1.01,overcast clouds
334,Atar,MR,20.5169,-13.0499,87.89,38,6,7.65,clear sky
335,Rumford,US,44.5537,-70.5509,66.78,74,0,3.38,clear sky
336,Cockburn Town,TC,21.4612,-71.1419,81.16,77,4,17.85,clear sky
337,General Pico,AR,-35.6566,-63.7568,46.83,58,100,10.36,overcast clouds
338,Haimen,CN,23.1935,116.6142,89.49,66,73,3.11,broken clouds
339,Tilichiki,RU,60.4667,166.1,71.28,63,26,6.93,scattered clouds
340,Khani,GE,41.9563,42.9566,58.57,97,98,0.51,overcast clouds
341,Asau,RO,46.4333,26.4,54.52,63,51,6.04,broken clouds
342,Vaitape,PF,-16.5167,-151.75,78.64,67,93,19.19,overcast clouds
343,Zhigansk,RU,66.7697,123.3711,68.56,73,87,12.66,light rain
344,Hambantota,LK,6.1241,81.1185,84.54,79,20,12.66,few clouds
